id,name,object-type,incident-date,procedure.tactic,procedure.technique,target,actor,mitigation
AML.CS0000,Evasion of Deep Learning Detector for Malware C&C Traffic,case-study,2020-01-01,Reconnaissance,Pre-Print Repositories,Palo Alto Networks malware detection system,Palo Alto Networks AI Research Team,
AML.CS0000,Evasion of Deep Learning Detector for Malware C&C Traffic,case-study,2020-01-01,Resource Development,Datasets,Palo Alto Networks malware detection system,Palo Alto Networks AI Research Team,Limit Model Artifact Release
AML.CS0000,Evasion of Deep Learning Detector for Malware C&C Traffic,case-study,2020-01-01,AI Attack Staging,Create Proxy AI Model,Palo Alto Networks malware detection system,Palo Alto Networks AI Research Team,
AML.CS0000,Evasion of Deep Learning Detector for Malware C&C Traffic,case-study,2020-01-01,AI Attack Staging,Manual Modification,Palo Alto Networks malware detection system,Palo Alto Networks AI Research Team,
AML.CS0000,Evasion of Deep Learning Detector for Malware C&C Traffic,case-study,2020-01-01,AI Attack Staging,Verify Attack,Palo Alto Networks malware detection system,Palo Alto Networks AI Research Team,
AML.CS0000,Evasion of Deep Learning Detector for Malware C&C Traffic,case-study,2020-01-01,Defense Evasion,Evade AI Model,Palo Alto Networks malware detection system,Palo Alto Networks AI Research Team,Adversarial Input Detection
AML.CS0001,Botnet Domain Generation Algorithm (DGA) Detection Evasion,case-study,2020-01-01,Reconnaissance,Search Open Technical Databases,Palo Alto Networks ML-based DGA detection module,Palo Alto Networks AI Research Team,Limit Public Release of Information
AML.CS0001,Botnet Domain Generation Algorithm (DGA) Detection Evasion,case-study,2020-01-01,Resource Development,Acquire Public AI Artifacts,Palo Alto Networks ML-based DGA detection module,Palo Alto Networks AI Research Team,Limit Public Release of Information
AML.CS0001,Botnet Domain Generation Algorithm (DGA) Detection Evasion,case-study,2020-01-01,Resource Development,Adversarial AI Attacks,Palo Alto Networks ML-based DGA detection module,Palo Alto Networks AI Research Team,
AML.CS0001,Botnet Domain Generation Algorithm (DGA) Detection Evasion,case-study,2020-01-01,AI Attack Staging,Black-Box Optimization,Palo Alto Networks ML-based DGA detection module,Palo Alto Networks AI Research Team,Adversarial Input Detection
AML.CS0001,Botnet Domain Generation Algorithm (DGA) Detection Evasion,case-study,2020-01-01,AI Attack Staging,Verify Attack,Palo Alto Networks ML-based DGA detection module,Palo Alto Networks AI Research Team,
AML.CS0001,Botnet Domain Generation Algorithm (DGA) Detection Evasion,case-study,2020-01-01,Defense Evasion,Evade AI Model,Palo Alto Networks ML-based DGA detection module,Palo Alto Networks AI Research Team,Adversarial Input Detection
AML.CS0002,VirusTotal Poisoning,case-study,2020-01-01,Resource Development,Adversarial AI Attack Implementations,VirusTotal,Unknown,
AML.CS0002,VirusTotal Poisoning,case-study,2020-01-01,AI Attack Staging,Craft Adversarial Data,VirusTotal,Unknown,
AML.CS0002,VirusTotal Poisoning,case-study,2020-01-01,Initial Access,Data,VirusTotal,Unknown,Maintain AI Dataset Provenance
AML.CS0002,VirusTotal Poisoning,case-study,2020-01-01,Persistence,Poison Training Data,VirusTotal,Unknown,Maintain AI Dataset Provenance
AML.CS0003,Bypassing Cylance's AI Malware Detection,case-study,2019-09-07,Reconnaissance,Search Open Technical Databases,"CylancePROTECT, Cylance Smart Antivirus",Skylight Cyber,Limit Public Release of Information
AML.CS0003,Bypassing Cylance's AI Malware Detection,case-study,2019-09-07,AI Model Access,AI-Enabled Product or Service,"CylancePROTECT, Cylance Smart Antivirus",Skylight Cyber,AI Telemetry Logging
AML.CS0003,Bypassing Cylance's AI Malware Detection,case-study,2019-09-07,Discovery,AML.T0063,"CylancePROTECT, Cylance Smart Antivirus",Skylight Cyber,
AML.CS0003,Bypassing Cylance's AI Malware Detection,case-study,2019-09-07,Resource Development,Adversarial AI Attacks,"CylancePROTECT, Cylance Smart Antivirus",Skylight Cyber,
AML.CS0003,Bypassing Cylance's AI Malware Detection,case-study,2019-09-07,AI Attack Staging,Manual Modification,"CylancePROTECT, Cylance Smart Antivirus",Skylight Cyber,
AML.CS0003,Bypassing Cylance's AI Malware Detection,case-study,2019-09-07,Defense Evasion,Evade AI Model,"CylancePROTECT, Cylance Smart Antivirus",Skylight Cyber,Adversarial Input Detection
AML.CS0004,Camera Hijack Attack on Facial Recognition System,case-study,2020-01-01,Resource Development,Consumer Hardware,Shanghai government tax office's facial recognition service,Two individuals,
AML.CS0004,Camera Hijack Attack on Facial Recognition System,case-study,2020-01-01,Resource Development,Software Tools,Shanghai government tax office's facial recognition service,Two individuals,
AML.CS0004,Camera Hijack Attack on Facial Recognition System,case-study,2020-01-01,Resource Development,Adversarial AI Attack Implementations,Shanghai government tax office's facial recognition service,Two individuals,
AML.CS0004,Camera Hijack Attack on Facial Recognition System,case-study,2020-01-01,Resource Development,Establish Accounts,Shanghai government tax office's facial recognition service,Two individuals,
AML.CS0004,Camera Hijack Attack on Facial Recognition System,case-study,2020-01-01,AI Model Access,AI-Enabled Product or Service,Shanghai government tax office's facial recognition service,Two individuals,AI Telemetry Logging
AML.CS0004,Camera Hijack Attack on Facial Recognition System,case-study,2020-01-01,Initial Access,Evade AI Model,Shanghai government tax office's facial recognition service,Two individuals,Adversarial Input Detection
AML.CS0004,Camera Hijack Attack on Facial Recognition System,case-study,2020-01-01,Impact,Financial Harm,Shanghai government tax office's facial recognition service,Two individuals,
AML.CS0005,Attack on Machine Translation Services,case-study,2020-04-30,Reconnaissance,Search Open Technical Databases,"Google Translate, Bing Translator, Systran Translate",Berkeley Artificial Intelligence Research,Limit Public Release of Information
AML.CS0005,Attack on Machine Translation Services,case-study,2020-04-30,Resource Development,Datasets,"Google Translate, Bing Translator, Systran Translate",Berkeley Artificial Intelligence Research,Limit Model Artifact Release
AML.CS0005,Attack on Machine Translation Services,case-study,2020-04-30,Resource Development,Models,"Google Translate, Bing Translator, Systran Translate",Berkeley Artificial Intelligence Research,Limit Model Artifact Release
AML.CS0005,Attack on Machine Translation Services,case-study,2020-04-30,AI Model Access,AI Model Inference API Access,"Google Translate, Bing Translator, Systran Translate",Berkeley Artificial Intelligence Research,AI Telemetry Logging
AML.CS0005,Attack on Machine Translation Services,case-study,2020-04-30,AI Attack Staging,Train Proxy via Replication,"Google Translate, Bing Translator, Systran Translate",Berkeley Artificial Intelligence Research,AI Telemetry Logging
AML.CS0005,Attack on Machine Translation Services,case-study,2020-04-30,Impact,AI Intellectual Property Theft,"Google Translate, Bing Translator, Systran Translate",Berkeley Artificial Intelligence Research,Encrypt Sensitive Information
AML.CS0005,Attack on Machine Translation Services,case-study,2020-04-30,AI Attack Staging,Black-Box Transfer,"Google Translate, Bing Translator, Systran Translate",Berkeley Artificial Intelligence Research,
AML.CS0005,Attack on Machine Translation Services,case-study,2020-04-30,Impact,Evade AI Model,"Google Translate, Bing Translator, Systran Translate",Berkeley Artificial Intelligence Research,Adversarial Input Detection
AML.CS0005,Attack on Machine Translation Services,case-study,2020-04-30,Impact,Erode AI Model Integrity,"Google Translate, Bing Translator, Systran Translate",Berkeley Artificial Intelligence Research,Adversarial Input Detection
AML.CS0006,ClearviewAI Misconfiguration,case-study,2020-04-16,Resource Development,Establish Accounts,Clearview AI facial recognition tool,Researchers at spiderSilk,
AML.CS0006,ClearviewAI Misconfiguration,case-study,2020-04-16,Collection,Data from Information Repositories,Clearview AI facial recognition tool,Researchers at spiderSilk,
AML.CS0006,ClearviewAI Misconfiguration,case-study,2020-04-16,Resource Development,Acquire Public AI Artifacts,Clearview AI facial recognition tool,Researchers at spiderSilk,Limit Public Release of Information
AML.CS0006,ClearviewAI Misconfiguration,case-study,2020-04-16,Impact,Erode AI Model Integrity,Clearview AI facial recognition tool,Researchers at spiderSilk,Adversarial Input Detection
AML.CS0007,GPT-2 Model Replication,case-study,2019-08-22,Reconnaissance,Search Open Technical Databases,OpenAI GPT-2,Researchers at Brown University,Limit Public Release of Information
AML.CS0007,GPT-2 Model Replication,case-study,2019-08-22,Resource Development,Models,OpenAI GPT-2,Researchers at Brown University,Limit Model Artifact Release
AML.CS0007,GPT-2 Model Replication,case-study,2019-08-22,Resource Development,Datasets,OpenAI GPT-2,Researchers at Brown University,Limit Model Artifact Release
AML.CS0007,GPT-2 Model Replication,case-study,2019-08-22,Resource Development,AI Development Workspaces,OpenAI GPT-2,Researchers at Brown University,
AML.CS0007,GPT-2 Model Replication,case-study,2019-08-22,AI Attack Staging,Train Proxy via Gathered AI Artifacts,OpenAI GPT-2,Researchers at Brown University,
AML.CS0008,ProofPoint Evasion,case-study,2019-09-09,Discovery,AML.T0063,ProofPoint Email Protection System,Researchers at Silent Break Security,
AML.CS0008,ProofPoint Evasion,case-study,2019-09-09,AI Model Access,AI-Enabled Product or Service,ProofPoint Email Protection System,Researchers at Silent Break Security,AI Telemetry Logging
AML.CS0008,ProofPoint Evasion,case-study,2019-09-09,AI Attack Staging,Train Proxy via Replication,ProofPoint Email Protection System,Researchers at Silent Break Security,AI Telemetry Logging
AML.CS0008,ProofPoint Evasion,case-study,2019-09-09,AI Attack Staging,Black-Box Transfer,ProofPoint Email Protection System,Researchers at Silent Break Security,
AML.CS0008,ProofPoint Evasion,case-study,2019-09-09,Impact,Evade AI Model,ProofPoint Email Protection System,Researchers at Silent Break Security,Adversarial Input Detection
AML.CS0009,Tay Poisoning,case-study,2016-03-23,AI Model Access,AI-Enabled Product or Service,Microsoft's Tay AI Chatbot,4chan Users,AI Telemetry Logging
AML.CS0009,Tay Poisoning,case-study,2016-03-23,Initial Access,Data,Microsoft's Tay AI Chatbot,4chan Users,Maintain AI Dataset Provenance
AML.CS0009,Tay Poisoning,case-study,2016-03-23,Persistence,Poison Training Data,Microsoft's Tay AI Chatbot,4chan Users,Maintain AI Dataset Provenance
AML.CS0009,Tay Poisoning,case-study,2016-03-23,Impact,Erode AI Model Integrity,Microsoft's Tay AI Chatbot,4chan Users,Adversarial Input Detection
AML.CS0010,Microsoft Azure Service Disruption,case-study,2020-01-01,Reconnaissance,Search Open Technical Databases,Internal Microsoft Azure Service,Microsoft AI Red Team,Limit Public Release of Information
AML.CS0010,Microsoft Azure Service Disruption,case-study,2020-01-01,Initial Access,Valid Accounts,Internal Microsoft Azure Service,Microsoft AI Red Team,
AML.CS0010,Microsoft Azure Service Disruption,case-study,2020-01-01,Collection,AI Artifact Collection,Internal Microsoft Azure Service,Microsoft AI Red Team,Encrypt Sensitive Information
AML.CS0010,Microsoft Azure Service Disruption,case-study,2020-01-01,Exfiltration,Exfiltration via Cyber Means,Internal Microsoft Azure Service,Microsoft AI Red Team,Control Access to AI Models and Data at Rest
AML.CS0010,Microsoft Azure Service Disruption,case-study,2020-01-01,AI Attack Staging,White-Box Optimization,Internal Microsoft Azure Service,Microsoft AI Red Team,AI Model Distribution Methods
AML.CS0010,Microsoft Azure Service Disruption,case-study,2020-01-01,AI Model Access,AI Model Inference API Access,Internal Microsoft Azure Service,Microsoft AI Red Team,AI Telemetry Logging
AML.CS0010,Microsoft Azure Service Disruption,case-study,2020-01-01,AI Attack Staging,Verify Attack,Internal Microsoft Azure Service,Microsoft AI Red Team,
AML.CS0010,Microsoft Azure Service Disruption,case-study,2020-01-01,Impact,Evade AI Model,Internal Microsoft Azure Service,Microsoft AI Red Team,Adversarial Input Detection
AML.CS0011,Microsoft Edge AI Evasion,case-study,2020-02-01,Reconnaissance,Search Open Technical Databases,New Microsoft AI Product,Azure Red Team,Limit Public Release of Information
AML.CS0011,Microsoft Edge AI Evasion,case-study,2020-02-01,Resource Development,Acquire Public AI Artifacts,New Microsoft AI Product,Azure Red Team,Limit Public Release of Information
AML.CS0011,Microsoft Edge AI Evasion,case-study,2020-02-01,AI Model Access,AI Model Inference API Access,New Microsoft AI Product,Azure Red Team,AI Telemetry Logging
